seed,gate_applied,a0_force,e3g_force,a0_force_source
20118,True,0.6725580837741642,0.4794028729914687,new_mattersim_single_point_probe
20119,True,0.35732232303183825,0.1563191324675854,new_mattersim_single_point_probe
20120,True,0.5550115793653801,0.4390573825722407,new_mattersim_single_point_probe
20121,True,0.05864690790728139,0.0681368606205359,new_mattersim_single_point_probe
20122,True,0.07846995698422317,0.0383092889721146,new_mattersim_single_point_probe
20123,True,1.1008780703765573,0.7456102751221333,new_mattersim_single_point_probe
20124,False,0.2166450183313727,0.2166450183313727,exact_gate_off_e3g_reuse
20125,True,0.31461884038262117,0.4513627837071628,new_mattersim_single_point_probe
20126,True,0.2208635432886717,0.267300933680967,new_mattersim_single_point_probe
20127,True,0.053872788454509865,0.1029263743156668,new_mattersim_single_point_probe
20128,False,0.0746983324605135,0.0746983324605135,exact_gate_off_e3g_reuse
20129,True,1.0742996542995622,0.6062895846994005,new_mattersim_single_point_probe
20130,False,0.1174875512595914,0.1174875512595914,exact_gate_off_e3g_reuse
20131,False,0.1086915083459537,0.1086915083459537,exact_gate_off_e3g_reuse
20132,True,1.5483301501352358,0.7127379613724618,new_mattersim_single_point_probe
20133,True,0.11665809872000794,0.0816075079427293,new_mattersim_single_point_probe
20134,True,0.7480154541161775,1.0316789685941667,new_mattersim_single_point_probe
20135,True,1.406372362909125,0.4632903006053502,new_mattersim_single_point_probe
20136,True,0.0964301851189295,0.1385044117287893,new_mattersim_single_point_probe
20137,True,0.08097254940491651,0.0769074612542851,new_mattersim_single_point_probe
20138,True,0.655261416332675,0.4015078303700498,new_mattersim_single_point_probe
20139,True,0.5308092059324125,0.2642729866123171,new_mattersim_single_point_probe
20140,False,0.0037587339312218,0.0037587339312218,exact_gate_off_e3g_reuse
20141,True,0.16766224586732711,0.1271135457240113,new_mattersim_single_point_probe
20142,True,0.41406419723255566,0.2521560375945126,new_mattersim_single_point_probe
20143,True,0.0471915180249254,0.0462900414540332,new_mattersim_single_point_probe
20144,False,0.0118532727143655,0.0118532727143655,exact_gate_off_e3g_reuse
20145,True,0.20662500010385607,0.1770952555250494,new_mattersim_single_point_probe
20146,False,0.4807384450310782,0.4807384450310782,exact_gate_off_e3g_reuse
20147,False,0.034115691786373,0.034115691786373,exact_gate_off_e3g_reuse
20148,False,0.1268625476369045,0.1268625476369045,exact_gate_off_e3g_reuse
20149,False,0.079642840774929,0.079642840774929,exact_gate_off_e3g_reuse
20150,False,0.2017683091071133,0.2017683091071133,exact_gate_off_e3g_reuse
20151,True,0.5515274653825882,0.4714296136206219,new_mattersim_single_point_probe
20152,True,0.0321333300761156,0.0350907281861513,new_mattersim_single_point_probe
20153,True,0.36249116344541454,0.3482199985140887,new_mattersim_single_point_probe
20154,True,0.2782070889182999,0.318327194622503,new_mattersim_single_point_probe
20155,True,0.004870715624495135,0.0044357994092753,new_mattersim_single_point_probe
20156,False,0.1335084720075378,0.1335084720075378,exact_gate_off_e3g_reuse
20157,True,0.709302258172054,0.3169356557237777,new_mattersim_single_point_probe
20158,True,0.053076403992999,0.0496134699158444,new_mattersim_single_point_probe
20159,True,0.32263775947207474,0.0807892574435422,new_mattersim_single_point_probe
20160,True,0.417129851080507,0.3522001038592779,new_mattersim_single_point_probe
20161,True,0.0040411348758796865,0.0036762819438388,new_mattersim_single_point_probe
20162,False,0.1301468329002775,0.1301468329002775,exact_gate_off_e3g_reuse
20163,True,0.6989774666488413,0.5346597081249559,new_mattersim_single_point_probe
20164,True,0.019806414942146848,0.0129092908271961,new_mattersim_single_point_probe
20165,True,0.19146350334212278,0.3913161305467684,new_mattersim_single_point_probe
20166,True,0.5280359631753446,0.3166906474514307,new_mattersim_single_point_probe
20167,False,0.0869945257081399,0.0869945257081399,exact_gate_off_e3g_reuse
20168,False,0.1245353310329965,0.1245353310329965,exact_gate_off_e3g_reuse
20169,True,0.3887676201066421,0.2194127676748973,new_mattersim_single_point_probe
20170,True,0.09687975954768048,0.0867305400630433,new_mattersim_single_point_probe
20171,True,0.7128887622011929,0.5295480057827592,new_mattersim_single_point_probe
20172,True,0.35268094745680206,0.3062746248548382,new_mattersim_single_point_probe
20173,True,0.7548260733307565,0.5543537837271957,new_mattersim_single_point_probe
20174,False,0.0279452002752879,0.0279452002752879,exact_gate_off_e3g_reuse
20175,True,0.2858781701250436,0.2118605988087417,new_mattersim_single_point_probe
20176,True,0.03707954931715661,0.0271099307752755,new_mattersim_single_point_probe
20177,True,2.2560549351659893,1.5903153609951215,new_mattersim_single_point_probe
20178,False,0.2646872895543654,0.2646872895543654,exact_gate_off_e3g_reuse
20179,True,0.8978472053919152,0.5455215511087281,new_mattersim_single_point_probe
20180,True,0.14185811381785893,0.1432522538585167,new_mattersim_single_point_probe
20181,False,0.959099627150474,0.959099627150474,exact_gate_off_e3g_reuse
20182,False,0.1144140655698796,0.1144140655698796,exact_gate_off_e3g_reuse
20183,True,0.004493660142696518,0.0038027283011765,new_mattersim_single_point_probe
20184,True,0.08035411212021977,0.1005313163029613,new_mattersim_single_point_probe
20185,False,0.2948034074543613,0.2948034074543613,exact_gate_off_e3g_reuse
20186,False,0.0961170041367805,0.0961170041367805,exact_gate_off_e3g_reuse
20187,True,0.09745374830242642,0.1012136885837978,new_mattersim_single_point_probe
20188,True,0.12910235151517738,0.1188666651180676,new_mattersim_single_point_probe
20189,True,0.01669047772936532,0.015167362721689,new_mattersim_single_point_probe
20190,False,0.2198840533273535,0.2198840533273535,exact_gate_off_e3g_reuse
20191,True,0.2076905045302404,0.1813270967663051,new_mattersim_single_point_probe
20192,False,0.004822199869528,0.004822199869528,exact_gate_off_e3g_reuse
20193,True,1.356269867395538,0.6968427952892443,new_mattersim_single_point_probe
20194,True,0.16498827008712807,0.2456822516004161,new_mattersim_single_point_probe
20195,False,0.2382484082254239,0.2382484082254239,exact_gate_off_e3g_reuse
20196,True,0.5946974619532861,0.60543527314534,new_mattersim_single_point_probe
20197,True,0.02439521465689632,0.0464785927985224,new_mattersim_single_point_probe
20198,True,0.21284971654237295,0.246909819583857,new_mattersim_single_point_probe
20199,False,0.0482598471434895,0.0482598471434895,exact_gate_off_e3g_reuse
20200,True,0.09922691363387866,0.090456338023334,new_mattersim_single_point_probe
20201,False,0.1676984575684302,0.1676984575684302,exact_gate_off_e3g_reuse
20202,True,3.469149715756665,0.6079541396057832,new_mattersim_single_point_probe
20203,False,0.0743552202848879,0.0743552202848879,exact_gate_off_e3g_reuse
20204,True,0.8067079710329844,0.6342376959694243,new_mattersim_single_point_probe
20205,False,0.0582947134518064,0.0582947134518064,exact_gate_off_e3g_reuse
20206,True,0.21912658533876503,0.1501747719806604,new_mattersim_single_point_probe
20207,True,0.3439151915255252,0.1621462032681785,new_mattersim_single_point_probe
20208,False,0.8972317636278857,0.8972317636278857,exact_gate_off_e3g_reuse
20209,True,0.15024332927086367,0.0405568306533385,new_mattersim_single_point_probe
20210,False,0.2617177210073107,0.2617177210073107,exact_gate_off_e3g_reuse
20211,True,0.1706742914029888,0.1436080418061862,new_mattersim_single_point_probe
20212,True,0.20855397284840838,0.1271918391024859,new_mattersim_single_point_probe
20213,False,0.2701730770673242,0.2701730770673242,exact_gate_off_e3g_reuse
20214,True,0.046827639315331224,0.061872494994911,new_mattersim_single_point_probe
20215,True,0.3006869380010115,0.2589935370294831,new_mattersim_single_point_probe
20216,True,0.5223760603662405,0.345389005830941,new_mattersim_single_point_probe
20217,True,2.571193032784954,0.8968661718046401,new_mattersim_single_point_probe
20218,True,1.019557509710357,0.3480285648073165,new_mattersim_single_point_probe
20219,True,0.3465396472809143,0.2802923592494349,new_mattersim_single_point_probe
20220,False,0.0686515601304891,0.0686515601304891,exact_gate_off_e3g_reuse
20221,True,0.6913346187349281,0.4600434124026509,new_mattersim_single_point_probe
20222,True,0.03333854418306674,0.0440827976325566,new_mattersim_single_point_probe
20223,False,0.2652522767423935,0.2652522767423935,exact_gate_off_e3g_reuse
20224,True,0.641456263658053,0.573801041858319,new_mattersim_single_point_probe
20225,True,0.7452615119827053,0.4428938628176146,new_mattersim_single_point_probe
20226,True,0.9525676532444893,0.4716137610889937,new_mattersim_single_point_probe
20227,True,0.24614996417419044,0.2406412793464609,new_mattersim_single_point_probe
20228,True,0.23657172568197352,0.2438545113392675,new_mattersim_single_point_probe
20229,False,0.2228585309815692,0.2228585309815692,exact_gate_off_e3g_reuse
20230,True,0.45943988449748613,0.3773325811062856,new_mattersim_single_point_probe
20231,True,0.1463564751551895,0.126607712514522,new_mattersim_single_point_probe
20232,False,0.2871565933466526,0.2871565933466526,exact_gate_off_e3g_reuse
20233,True,0.30727391297766665,0.1409994216141209,new_mattersim_single_point_probe
20234,True,0.1297300833645688,0.0111745979284453,new_mattersim_single_point_probe
20235,True,0.3768279654173045,0.1779699081266741,new_mattersim_single_point_probe
20236,True,0.19857413086621106,0.1485774567389834,new_mattersim_single_point_probe
20237,False,0.0466754398679064,0.0466754398679064,exact_gate_off_e3g_reuse
20238,True,0.13522474612474228,0.1134327532145273,new_mattersim_single_point_probe
20239,True,0.2447835252575282,0.1836046713683829,new_mattersim_single_point_probe
20240,True,0.14122966844055282,0.1212488684130579,new_mattersim_single_point_probe
20241,True,0.7701770338619099,0.6381680752224411,new_mattersim_single_point_probe
20242,False,1.3951241825776224,1.3951241825776224,exact_gate_off_e3g_reuse
20243,True,0.34805874441315937,0.3588148697675632,new_mattersim_single_point_probe
20244,False,0.0265010251088564,0.0265010251088564,exact_gate_off_e3g_reuse
20245,True,1.1142848649738895,0.5690976807374738,new_mattersim_single_point_probe
20246,True,0.12222164687693535,0.0783128859315546,new_mattersim_single_point_probe
20247,True,0.5411211888837799,0.348714573194254,new_mattersim_single_point_probe
20248,True,0.09896448129380787,0.1022726381574128,new_mattersim_single_point_probe
20249,True,0.8557493027475355,0.6070463005111668,new_mattersim_single_point_probe
20250,True,0.6601379706877287,0.6317271505526556,new_mattersim_single_point_probe
20251,False,0.1066150327296158,0.1066150327296158,exact_gate_off_e3g_reuse
20252,True,0.06375290986980864,0.0339521111906806,new_mattersim_single_point_probe
20253,True,0.07231289114850036,0.0639714504029677,new_mattersim_single_point_probe
20254,True,0.018620215345087787,0.0166843007165595,new_mattersim_single_point_probe
20255,True,0.18002316327824702,0.1534066462921463,new_mattersim_single_point_probe
