trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
25,Q2_RFR,0.08564029880149923,0.01111203376216785,0.625,0.125,1.0,1.0,0.125,0.75,1.0,-0.04012872294525979,-0.6268563254788821,0.125,-0.125,0.25,0.0,-0.5,-0.25
25,Q4_CPRC,0.08660263343177763,0.009709947522009663,0.75,0.125,0.875,1.0,0.25,0.875,1.0,-0.0391663883149814,-0.6739385808828702,0.25,-0.125,0.125,0.0,-0.375,-0.125
25,Q6_NS_SETRANK_PROXY,0.10778933803348273,0.011089123297504888,0.625,0.5,1.0,1.0,0.625,0.875,1.0,-0.017979683713276295,-0.6276256621414856,0.125,0.25,0.25,0.0,0.0,-0.125
26,baseline_first,0.14152860465572753,0.11344872665462316,0.25,0.0,0.75,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Q1_UQ_PQR,0.11624297483695842,0.023039690061173963,0.75,0.375,0.875,1.0,0.5,0.875,1.0,-0.025285629818769112,-0.7969153930540386,0.5,0.375,0.125,0.0,-0.125,0.0
26,Q2_RFR,0.08239826046166483,0.00593475250854415,0.75,0.25,0.875,1.0,0.375,0.75,1.0,-0.0591303441940627,-0.9476877997351916,0.5,0.25,0.125,0.0,-0.25,-0.125
26,Q4_CPRC,0.10607807793441212,0.021665802094087465,0.75,0.25,0.875,1.0,0.375,0.875,1.0,-0.035450526721315406,-0.8090256036099409,0.5,0.25,0.125,0.0,-0.25,0.0
26,Q6_NS_SETRANK_PROXY,0.09849184102146477,0.013894842904567838,0.75,0.5,0.875,1.0,0.625,0.75,1.0,-0.04303676363426276,-0.877523147995583,0.5,0.5,0.125,0.0,0.0,-0.125
27,baseline_first,0.14227139531651042,0.12724967076667937,0.25,0.125,0.75,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Q1_UQ_PQR,0.06254608922335866,0.005282563570462237,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.07972530609315176,-0.9584866228836996,0.625,0.25,0.125,0.0,-0.25,-0.125
27,Q2_RFR,0.05392415627501076,0.0040916646396592,0.875,0.375,0.875,1.0,0.375,0.75,1.0,-0.08834723904149966,-0.96784538132785,0.625,0.25,0.125,0.0,-0.25,-0.125
27,Q4_CPRC,0.06861140177911015,0.0051475971704661875,0.75,0.25,0.875,1.0,0.25,0.75,1.0,-0.07365999353740027,-0.9595472653135217,0.5,0.125,0.125,0.0,-0.375,-0.125
27,Q6_NS_SETRANK_PROXY,0.07493402263434565,0.011563839441813087,0.875,0.625,1.0,1.0,0.625,0.75,1.0,-0.06733737268216478,-0.9091247987351091,0.625,0.5,0.25,0.0,0.0,-0.125
28,baseline_first,0.18145851211790348,0.06230204138531696,0.25,0.0,0.875,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Q1_UQ_PQR,0.059372894307728484,0.011879867650792762,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.12208561781017499,-0.809318163793064,0.75,0.25,0.0,0.0,-0.375,0.0
28,Q2_RFR,0.05696357473397492,0.005323273721307287,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.12449493738392856,-0.9145569935921578,0.75,0.25,0.0,0.0,-0.375,0.0
28,Q4_CPRC,0.059372894307728484,0.011879867650792762,1.0,0.25,0.875,1.0,0.25,0.875,1.0,-0.12208561781017499,-0.809318163793064,0.75,0.25,0.0,0.0,-0.375,0.0
