method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,formal_seed
A0_E3G,18,18,20018,-114.39219665527344,-7.14951229095459,0.0493580028414726,0.5838458752646329,True,1.7651411469560117,68,LiMn3O4,Li-Mn-O,1.9930089418900216,False,False,0.2147593763698161,0.0402791226930498,False,False,True,True,True,True,True,True,True,True,True,0.2147593763698161,0.1720302514260634,20018
A0_E3G,19,19,20019,-90.22134399414062,-7.518445332845052,0.0386156104505062,0.1800978550552021,True,2.0344863899517804,62,FeCo2,Co-Fe,2.420613424644224,False,False,0.0986740393076832,0.0783088930797914,False,True,True,True,True,False,False,True,True,False,True,0.0986740393076832,0.0768197948940887,20019
A0_E3G,20,20,20020,-102.29351806640624,-6.393344879150391,0.0437035448849201,0.1156836366790601,True,1.1106923759216445,28,CaMn2FeS4,Ca-Fe-Mn-S,2.507883289263376,False,False,0.2643647606838675,0.0058506005180113,False,False,True,True,True,True,True,True,True,True,False,0.2643647606838675,0.2643647606838675,20020
A0_E3G,21,21,20021,-83.72383117675781,-8.372383117675781,0.0401985980570316,0.6759954933436004,True,1.2488322400022298,43,Mn7HN2,H-Mn-N,1.884489191163932,False,False,0.2841967059591219,0.0359264420607653,False,False,True,True,True,True,True,True,True,True,True,0.2841967059591219,0.2841967059591219,20021
A0_E3G,22,22,20022,-70.6782455444336,-8.8347806930542,0.0111026894301176,0.0179645770902749,True,0.3014518159907311,6,PrEu3,Eu-Pr,3.843828272861112,False,False,0.0943245989259473,0.0048431028618341,False,True,True,True,True,False,False,True,True,False,True,0.0943245989259473,0.0943245989259473,20022
A0_E3G,23,23,20023,-105.69358825683594,-7.046239217122396,0.0491103157401084,0.446535766382177,True,2.331775591010228,74,V2Fe4O9,Fe-O-V,1.6798901841025122,False,False,0.2833738412647264,0.0528808965121951,False,False,True,True,True,True,True,True,True,True,True,0.2833738412647264,0.28337384126473,20023
A0_E3G,24,24,20024,-29.15857315063477,-7.289643287658691,0.0360133610665798,0.1644265218690846,True,0.6108435249188915,18,Fe2NiPt,Fe-Ni-Pt,2.5698559646772066,False,False,0.0860560080941699,0.0461417746050734,False,True,True,True,True,False,False,True,True,False,True,0.0860560080941699,0.0642493299041699,20024
A0_E3G,25,25,20025,-158.4576873779297,-7.922884368896485,0.1583128720521927,0.4950814901289159,False,13.841656610020436,500,Fe7SiB2,B-Fe-Si,1.992454455850755,False,False,0.2183559004746964,0.2454947121681223,False,False,True,True,True,True,True,True,True,True,True,0.2183559004746964,0.2183559004746964,20025
A0_E3G,26,26,20026,-90.4863510131836,-6.463310786655971,0.0471855998039245,0.8028762705133115,True,7.203086222987622,252,Li3Fe2Si2O7,Fe-Li-O-Si,1.6166456954828776,False,False,0.3652497934480445,0.2390318629441905,False,False,True,True,True,True,True,True,True,True,True,0.3652497934480445,0.3517080584380405,20026
A0_E3G,27,27,20027,-57.14186477661133,-6.349096086290148,0.0495709553360939,0.0695570153513996,True,0.9445503669558092,27,CaEuSi,Ca-Eu-Si,2.990653588766764,False,False,0.0026289268899635,0.0031988637159376,True,True,True,True,True,True,True,True,True,True,True,0.0026289268899635,0.0026289268899635,20027
A0_E3G,28,28,20028,-177.68844604492188,-8.884422302246094,0.0498949214816093,0.315620775235542,True,1.4255928300553933,55,Gd2FeCuO6,Cu-Fe-Gd-O,1.8402633572996,False,False,0.219095741559828,0.025976863334932,False,False,True,True,True,True,True,True,True,True,True,0.219095741559828,0.219095741559828,20028
A0_E3G,29,29,20029,-45.16565704345703,-9.033131408691409,0.0286980830132961,0.0315592780595535,True,0.3009037841111421,2,Eu3PtRh,Eu-Pt-Rh,2.7185480926628407,False,False,0.4982898777899205,0.0027156361862999,False,False,True,True,True,True,True,True,True,True,False,0.4982898777899205,0.4982898777899205,20029
A0_E3G,30,30,20030,-79.63943481445312,-6.636619567871094,0.0418669916689395,0.1048892255259211,True,0.4594373370055109,19,ZnFe3,Fe-Zn,2.4458099929086767,False,False,0.0514581044604955,0.0085431308636772,True,True,True,True,True,True,True,True,True,True,True,0.0514581044604955,0.0349237136188289,20030
A0_E3G,31,31,20031,-39.05057907104492,-7.810115814208984,0.0122219314798712,0.1209657094503108,True,0.3689346769824624,15,Eu3H2,Eu-H,2.404207063508211,False,False,0.0834091571104451,0.0028212660016002,True,True,False,False,True,True,True,True,True,True,True,0.0834091571104451,0.0415071717120856,20031
A0_E3G,32,32,20032,-71.82774353027344,-7.9808603922526045,0.0468105114996433,0.2476285423167964,True,2.165169215993956,85,EuFeGe,Eu-Fe-Ge,2.5055542889414606,False,False,0.3099043529107845,0.2535072017374947,False,False,True,True,True,True,True,True,True,True,True,0.3099043529107845,0.3099043529107845,20032
