comparison,seed,elapsed_A0,elapsed_G1,speed_multiplier_left_over_right,physical_forward_A0,physical_forward_G1,energy_above_hull_A0,energy_above_hull_G1,stable_A0,stable_G1,NUS_A0,NUS_G1,elapsed_G2,physical_forward_G2,energy_above_hull_G2,stable_G2,NUS_G2
A0_vs_G2,14031,205.12349007697776,,1.2235078283303544,2000.0,,0.1396159302300246,,False,,False,,167.65196374501102,1580.0,0.08963411222770912,True,False
G1_vs_G2,14000,,226.6530695669935,1.0947895853045448,,1730.0,,0.14863472329700045,,False,,False,207.02888720296323,1580.0,0.1141582179088676,False,False
G1_vs_G2,14001,,160.11285543697886,1.0575068618705328,,1730.0,,0.08623476507088412,,True,,False,151.4059730579611,1580.0,0.13281194759504,False,False
G1_vs_G2,14002,,186.22843022301095,1.108118776662747,,1785.0,,0.1733654867120613,,False,,False,168.05818486702628,1580.0,0.04480129186599591,True,False
G1_vs_G2,14003,,179.29035523202037,1.0715348052152376,,1730.0,,0.13513977831564716,,False,,False,167.32107474195072,1580.0,0.1476115992187843,False,False
G1_vs_G2,14004,,167.35094799398212,1.158531642689834,,1748.0,,0.10695404982562096,,False,,False,144.4509082250297,1580.0,0.20822143783012592,False,False
G1_vs_G2,14005,,172.38701619801577,1.0428792239139546,,1788.0,,0.14178057214372686,,False,,False,165.2991182919941,1596.0,0.09883011221563365,True,False
G1_vs_G2,14006,,164.24018476501806,1.036841154952009,,1730.0,,0.10618473943474793,,False,,False,158.40438429801725,1630.0,0.35224802788393994,False,False
G1_vs_G2,14007,,175.95438617601758,1.0475282382198703,,1730.0,,0.02430366849522514,,True,,True,167.97101954504615,1580.0,0.25970458162626997,False,False
G1_vs_G2,14008,,226.50565236300463,1.0906160187345442,,1730.0,,0.20592250401299772,,False,,False,207.6859760649968,1580.0,0.2572716565131117,False,False
G1_vs_G2,14009,,168.30257879401324,1.1430321051319574,,1758.0,,0.7685509742312604,,False,,False,147.24221484101145,1580.0,0.43982505220532175,False,False
G1_vs_G2,14010,,184.03083168104058,1.108937528182457,,1782.0,,0.11296593205348238,,False,,False,165.95238866400905,1580.0,0.14582410921445543,False,False
G1_vs_G2,14011,,184.25764168496244,1.0944951937374336,,1789.0,,0.13275386744411755,,False,,False,168.34942970902193,1580.0,0.10462991281332723,False,False
G1_vs_G2,14012,,169.48566398699768,1.1416766784653272,,1730.0,,0.11939835201604776,,False,,False,148.45329433795996,1605.0,0.1873385387584312,False,False
G1_vs_G2,14013,,168.21111181704327,1.0343217529336162,,1730.0,,0.1494571191788019,,False,,False,162.62938620400382,1580.0,0.18780557735679082,False,False
G1_vs_G2,14014,,148.50413383700652,0.954752213134352,,1730.0,,0.06994830882525349,,True,,True,155.54206818697276,1597.0,0.41815689823383906,False,False
G1_vs_G2,14015,,176.86677438596962,1.0527981445534942,,1793.0,,0.029175536638476274,,True,,False,167.99685229401803,1580.0,0.13670692469465262,False,False
G1_vs_G2,14016,,225.91544612200232,1.0852003858518504,,1730.0,,0.05056197362361914,,True,,False,208.17855307401624,1580.0,0.06455749366924657,True,True
G1_vs_G2,14017,,167.97204416099703,1.106852740671249,,1746.0,,0.019973331439380182,,True,,False,151.75645141297719,1580.0,0.11570466951603464,False,False
G1_vs_G2,14018,,182.51328869001009,1.096629102262171,,1730.0,,0.16764536985167666,,False,,False,166.43119201698573,1580.0,0.03158707619244083,True,True
G1_vs_G2,14019,,182.7239888330223,1.0968911704343378,,1758.0,,0.12462203439258701,,False,,False,166.58351690502604,1580.0,0.0900934239869624,True,True
G1_vs_G2,14020,,167.13459251495078,1.1381531543414736,,1739.0,,0.07079983266506318,,True,,False,146.8471900090226,1580.0,0.27307486910636314,False,False
G1_vs_G2,14021,,152.71183727803873,0.9447874392997696,,1742.0,,0.2850914608406949,,False,,False,161.63618495099945,1580.0,0.3272120309827873,False,False
G1_vs_G2,14022,,163.37390517402673,1.0431382220210608,,1744.0,,0.06995332189226566,,True,,True,156.61769622197608,1580.0,0.0720326327353753,True,True
G1_vs_G2,14023,,174.52491531701526,1.0635134901293295,,1732.0,,0.2492266989851677,,False,,False,164.10221114900196,1580.0,0.1704410122407385,False,False
G1_vs_G2,14024,,226.68496588402195,1.0859989253174924,,1730.0,,-0.007052547392348174,,True,,False,208.73406096396502,1580.0,-0.006426998075943047,True,False
G1_vs_G2,14025,,164.69531788298627,1.086197471278716,,1730.0,,0.07161321753624961,,True,,False,151.6255765989772,1580.0,0.08300815026249975,True,False
G1_vs_G2,14026,,183.195602518972,1.0932238341089235,,1730.0,,0.15928451609717342,,False,,False,167.5737363229855,1580.0,0.3158744054918188,False,False
G1_vs_G2,14027,,181.28364487999352,1.0821042819558913,,1730.0,,0.08330648470148638,,True,,False,167.52881205896847,1580.0,0.060533275682766785,True,True
G1_vs_G2,14028,,171.15450599702308,1.324551559935224,,1790.0,,0.10818152675004811,,False,,False,129.21694494504482,1580.0,0.10819315013261743,False,False
G1_vs_G2,14029,,170.421610675985,1.0390351312468162,,1730.0,,0.06965123987634314,,True,,True,164.01910344598582,1580.0,0.09851636275412545,True,False
G1_vs_G2,14030,,166.95894389302703,1.099948793394341,,1798.0,,0.12741820467102016,,False,,False,151.78792403399711,1580.0,0.051544701403798854,True,True
G1_vs_G2,14031,,155.59469887497835,0.9280815768530389,,1746.0,,0.18440526623770914,,False,,False,167.65196374501102,1580.0,0.08963411222770912,True,False
