comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,initial_max_force,-0.43716811627374685,2.2547357344110898e-13,256
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,atomic_force_mean,-0.41652623598077354,3.647124534797324e-12,256
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,rmsd,-0.4153357489084648,4.257844906280631e-12,256
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,relaxation_steps,-0.5539519380904777,5.443966572197044e-22,256
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,e_hull,-0.13252031357289995,0.034064757137163275,256
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,severe,-0.2672142813739139,1.4671405094603882e-05,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,initial_max_force,0.11601338979171433,0.06382601831087677,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,atomic_force_mean,0.12276908331425954,0.04974840229719298,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,rmsd,0.14851692115560883,0.01741421142328082,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,relaxation_steps,0.12080521221447754,0.053544899607810385,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,e_hull,0.17243290798809793,0.005671815997727078,256
TCL_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,severe,0.15743621251919407,0.01165564842629798,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,initial_max_force,-0.07281271457999541,0.2457055034608314,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,atomic_force_mean,-0.058087520027466234,0.3546363037943704,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,rmsd,-0.0803659447896315,0.19997023115853554,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,relaxation_steps,-0.16248148487980543,0.009205949961651489,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,e_hull,0.1415920405127031,0.023462826966733935,256
TCL_vs_C0,cfg2_score,cell,mid_30_70,severe,0.07362361504029118,0.24047245730514882,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,initial_max_force,0.19231732089723047,0.001995355755465384,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,atomic_force_mean,0.18240873197528037,0.003401980590895868,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,rmsd,0.19716900985083605,0.0015220515602715607,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,relaxation_steps,0.1961233204631388,0.0016143787952477013,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,e_hull,-0.02583400091554131,0.6807866897521776,256
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,severe,0.03861953021086702,0.5384767554333103,256
TCL_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,initial_max_force,0.7321405069810024,3.001203156105233e-44,256
