relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
experiments/innovation2_e3_pcr_formal256/statistics.json,704,4a2243fea3c6fab206af9a32e47ab4ae5f62b86c867c5e2b680029557b66b509,experiment,innovation2,False,,generated,
experiments/leakage_diagnostic/README.md,1982,ccc5f6edc4203f046618b0826aac72126cd2a3e71ac26d6bf1f9c284998b0e57,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/data_schema.md,184,cbfc1cfe44035b29f88c50967a903067441ccdfdc61c8b5a37a3f5e0120e5c88,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/experiment_manifest.json,899,a1d3b6db3af17dcb6079977a49fca1423f58afe83c32fac53914813bcdccc901,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/final_summary.json,469,141195973e603e3e2e761f2c9168df285a6d82acca55d7393f17cfb8aa3fac83,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/limitations.md,184,0f894cc3f03d5c3afc10c4975a72be1c09b86c81949fdfeb2e1e2049f6ed840e,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/per_seed_metrics.csv,36932,1ba46b7e0ea22d7e17c2d057a1c33dbc4ba7bd6ac38da074965a7f7533c46bcb,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/per_seed_metrics.json,126052,8a8213975cf8b27add0b0b166d431c8fc4df892bdf6be079c22e4b9c0a3c5c9c,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/seeds.txt,50,7b70f104f182b0a3d2e87d1b8b882c988601e4a1f273a6db5ba02875f05896d1,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/source_files.md,79,6365b598c519ed09ea47fba14a06ecf3cafcfe47454ccebe5156d4277c61c7d3,experiment,leakage_diagnostic,False,,generated,
experiments/leakage_diagnostic/statistics.json,422,d21024e48120fb6e8294b4e6cf00959fe625ba3934bde3db3b449b80fb685b79,experiment,leakage_diagnostic,False,,generated,
experiments/replication_50000_50063/README.md,1900,4d828fb9c6e878be6c7a7023f123015b0854ec58eb5f988944bc29c78e9c4ed7,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/data_schema.md,181,e180045a8e1d37612ee7f043f5be9da0433046442ccfd4ea80f19ad8d5407390,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/experiment_manifest.json,814,aa2fcc55e9eae1584e6f5e9bd5d268fd401d17b9584a44b8fddc7c67f3a72c3d,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/final_summary.json,293,bde32d7dbb56b51a513211d50fbbeb8b18a2ee3ed8bb692797776a134fac7376,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/limitations.md,166,3b252fae93c477eb6a46ed9970e4043b349970c12bf985309d7c3ed26a709688,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/per_seed_metrics.csv,15562,cf6e21e4bf1f418e9148635910d85c2cf7e175c2c7a8b35c9183b0bef4b8c09d,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/per_seed_metrics.json,43456,8f37bba10934acbbd20fd49699c94b04155706b796300467d3112614e6a03469,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,archive_wide,False,,generated,
experiments/replication_50000_50063/seeds.txt,14,48f81c08e7d482ac61e60d9c0ad02c303171f69d99a0fe8622e635f11cf4608e,experiment,archive_wide,False,,generated,
