config,seed,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05
A0_B4,24110,0.0012113565986053196,0.09878864340139469,False,False,False
A0_B4,24111,0.0002498313044171936,0.09975016869558281,False,False,False
A0_B4,24112,0.0011319828509014215,0.09886801714909858,False,False,False
A0_B4,24113,0.00412301001368897,0.09587698998631103,False,False,False
A0_B4,24114,0.00013508231813019817,0.09986491768186981,False,False,False
A0_B4,24115,0.0001271517735083133,0.09987284822649169,False,False,False
A0_B4,24116,0.00017149117608477544,0.09982850882391522,False,False,False
A0_B4,24117,0.00562218256701211,0.0943778174329879,False,False,False
A0_B4,24118,0.0004481247862879848,0.09955187521371202,False,False,False
A0_B4,24119,0.0009162880508297016,0.0990837119491703,False,False,False
A0_B4,24120,0.0002147123012294126,0.0997852876987706,False,False,False
A0_B4,24121,0.0036853272895268005,0.0963146727104732,False,False,False
A0_B4,24122,0.0007594399983213504,0.09924056000167865,False,False,False
A0_B4,24123,0.0002586334158231948,0.09974136658417682,False,False,False
A0_B4,24124,0.00025129251959173695,0.09974870748040827,False,False,False
A0_B4,24125,0.003707899295673502,0.0962921007043265,False,False,False
A0_B4,24126,0.0003805494296881814,0.09961945057031182,False,False,False
A0_B4,24127,0.00039732626440486913,0.09960267373559514,False,False,False
