method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,base_checkpoint_sha256,finetuned_checkpoint_sha256,dft_verified
FT0,83033,True,Mn5Si3,8,126.82247705105692,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83033,True,Mn5Fe3,8,115.37212162395008,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83034,True,Fe5Rh7,12,113.29881456680596,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83034,True,Mn2C,12,117.00843225093558,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83034,True,VFe7(SiGe)2,12,114.3474367710296,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83035,True,EuClO2,8,122.17243063496426,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83035,True,Mn4FeC3,8,115.01813162188046,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83035,True,Eu3Sn,8,114.7888194040861,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83036,True,Eu2(FeN)3,8,115.23910293006338,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83036,True,Mn5FeCo2,8,115.04575765598565,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83036,True,Eu3Co5,8,115.35005876095966,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83037,True,SrEu5Sn3,9,112.83043547696434,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83037,True,Mn7N2,9,112.60509803006425,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83037,True,Mn6Fe2H,9,117.20840714196675,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
