method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
V3_AnchorK16,69008,Eu4KO4Rb,10,26,0.14773877114648393,0.0,0.0,1.0,1.0,0.07347613526353694,0.2538626441977705,0.9746821466531077,6.161764705882353,16.0,16,19
V3_AnchorK16,69009,B3Fe7Sm2,12,46,0.15495901218199037,0.0,0.0,1.0,1.0,0.03155806859888699,0.2397966092173273,0.47703424386846294,5.989010989010989,16.0,16,22
V3_AnchorK16,69010,EuGd2O8Ti,12,54,0.14679766824869667,0.0,0.0,1.0,1.0,0.037765126826816486,0.3312077117429197,0.6749300138433024,7.1940298507462686,16.0,16,22
V3_AnchorK16,69011,As7B2Eu5,14,255,0.17058139933733596,0.0,0.0,1.0,1.0,0.2157748888639721,0.3214569391281224,0.6936998053827871,8.816326530612244,16.0,16,23
V3_AnchorK16,69012,H4Fe5O7,16,276,0.15268723661499006,0.0,0.0,1.0,1.0,1.1323271884996773,0.9156179447827553,1.5871649261881844,5.304347826086956,16.0,16,15
V3_AnchorK16,69013,B2Eu2Fe8,12,25,0.13929258302571768,0.0,0.0,1.0,1.0,0.003989295904726592,0.0457810213163889,0.09469995745207968,7.12987012987013,16.0,16,21
V3_AnchorK16,69014,EuTmZn2,4,14,0.04251254014770467,1.0,0.0,0.0,1.0,0.0018341457339466469,0.011437493840928323,0.01787753168676817,15.255813953488373,16.0,16,37
V3_AnchorK16,69015,Fe9SbSn2,12,85,0.25773471561523564,0.0,0.0,1.0,1.0,0.05852336234736219,0.13250094093124873,0.22194404941690146,7.377049180327869,16.0,16,22
V3_AnchorK16,69016,Eu8Ge3N,12,54,0.18328473871581963,0.0,0.0,1.0,1.0,0.06865889936026642,0.18356494655128186,0.8118602467545979,4.920792079207921,16.0,16,17
V3_AnchorK16,69017,H3ClEu3O5,12,73,-0.03678687236490852,1.0,1.0,1.0,1.0,0.04110023570128999,0.6799877815970478,2.2396338163373772,4.977011494252873,16.0,16,15
V3_AnchorK16,69018,Fe9Ir7,16,39,0.034487520664876925,1.0,1.0,1.0,1.0,0.020957138709267527,0.0636200120615269,0.1090371582845362,5.317460317460317,16.0,16,10
V3_AnchorK16,69019,Eu2Ni2,4,14,0.02817851381103509,1.0,0.0,0.0,1.0,0.002303572274861166,0.06749467714798074,0.07123797570061281,15.69047619047619,16.0,16,41
V3_AnchorK16,69020,FeMn,2,3,0.07091632232354428,1.0,0.0,0.0,1.0,0.0008372105441792862,0.00598551341819493,0.005985516324336607,14.886363636363637,16.0,16,37
V3_AnchorK16,69021,Mn8Ni2Si2,12,45,0.10971418206784378,0.0,0.0,1.0,1.0,0.06096869497070495,0.12380710231382787,0.21102404170816438,7.644736842105263,16.0,16,25
V3_AnchorK16,69022,Ba2Fe3O8,13,30,0.08056543868439636,1.0,1.0,1.0,1.0,0.015588476167608225,0.12737997170667212,0.20764864781382758,6.157303370786517,16.0,16,14
V3_AnchorK16,69023,Ba2Eu2O6,10,14,0.024782925910157516,1.0,0.0,0.0,1.0,0.002003345734173141,0.020171032540103724,0.031149330265214374,11.6,16.0,16,31
