method,baseline,seed,metric,value,baseline_value,paired_delta
C0,C0,66049,rmsd,0.04262583770596151,0.04262583770596151,0.0
C0,C0,66049,pre_relaxation_max_force,0.09271132200956345,0.09271132200956345,0.0
C0,C0,66050,e_hull,0.07429239160907031,0.07429239160907031,0.0
C0,C0,66050,stable,1.0,1.0,0.0
C0,C0,66050,nus,0.0,0.0,0.0
C0,C0,66050,novel,0.0,0.0,0.0
C0,C0,66050,unique,1.0,1.0,0.0
C0,C0,66050,rmsd,0.000610075872345238,0.000610075872345238,0.0
C0,C0,66050,pre_relaxation_max_force,0.00513295317068696,0.00513295317068696,0.0
C0,C0,66051,e_hull,0.2332457410205082,0.2332457410205082,0.0
C0,C0,66051,stable,0.0,0.0,0.0
C0,C0,66051,nus,0.0,0.0,0.0
C0,C0,66051,novel,1.0,1.0,0.0
C0,C0,66051,unique,1.0,1.0,0.0
C0,C0,66051,rmsd,0.0015553345038659932,0.0015553345038659932,0.0
C0,C0,66051,pre_relaxation_max_force,0.09069780260324478,0.09069780260324478,0.0
C0,C0,66052,e_hull,0.09363211411135097,0.09363211411135097,0.0
C0,C0,66052,stable,1.0,1.0,0.0
C0,C0,66052,nus,1.0,1.0,0.0
C0,C0,66052,novel,1.0,1.0,0.0
C0,C0,66052,unique,1.0,1.0,0.0
C0,C0,66052,rmsd,0.05687523199274943,0.05687523199274943,0.0
C0,C0,66052,pre_relaxation_max_force,0.6801129579544067,0.6801129579544067,0.0
C0,C0,66053,e_hull,0.19895792420166103,0.19895792420166103,0.0
C0,C0,66053,stable,0.0,0.0,0.0
C0,C0,66053,nus,0.0,0.0,0.0
C0,C0,66053,novel,1.0,1.0,0.0
C0,C0,66053,unique,1.0,1.0,0.0
C0,C0,66053,rmsd,0.13517956842609866,0.13517956842609866,0.0
C0,C0,66053,pre_relaxation_max_force,0.5653379559516907,0.5653379559516907,0.0
C0,C0,66054,e_hull,0.1026470805053723,0.1026470805053723,0.0
C0,C0,66054,stable,0.0,0.0,0.0
C0,C0,66054,nus,0.0,0.0,0.0
C0,C0,66054,novel,0.0,0.0,0.0
C0,C0,66054,unique,1.0,1.0,0.0
C0,C0,66054,rmsd,0.0029623197601609964,0.0029623197601609964,0.0
C0,C0,66054,pre_relaxation_max_force,0.03133656084537506,0.03133656084537506,0.0
C0,C0,66055,e_hull,0.11524807263904258,0.11524807263904258,0.0
C0,C0,66055,stable,0.0,0.0,0.0
C0,C0,66055,nus,0.0,0.0,0.0
C0,C0,66055,novel,1.0,1.0,0.0
C0,C0,66055,unique,1.0,1.0,0.0
C0,C0,66055,rmsd,0.0026035154409784706,0.0026035154409784706,0.0
C0,C0,66055,pre_relaxation_max_force,0.0884285569190979,0.0884285569190979,0.0
C0,C0,66056,e_hull,0.4988437237988279,0.4988437237988279,0.0
C0,C0,66056,stable,0.0,0.0,0.0
C0,C0,66056,nus,0.0,0.0,0.0
C0,C0,66056,novel,1.0,1.0,0.0
C0,C0,66056,unique,1.0,1.0,0.0
C0,C0,66056,rmsd,1.4332009593464703,1.4332009593464703,0.0
C0,C0,66056,pre_relaxation_max_force,1.0088740587234497,1.0088740587234497,0.0
C0,C0,66057,e_hull,0.0076036800781249525,0.0076036800781249525,0.0
C0,C0,66057,stable,1.0,1.0,0.0
C0,C0,66057,nus,0.0,0.0,0.0
C0,C0,66057,novel,0.0,0.0,0.0
C0,C0,66057,unique,1.0,1.0,0.0
C0,C0,66057,rmsd,0.0011269204357807977,0.0011269204357807977,0.0
C0,C0,66057,pre_relaxation_max_force,0.03169205039739609,0.03169205039739609,0.0
C0,C0,66058,e_hull,0.1217260588253346,0.1217260588253346,0.0
C0,C0,66058,stable,0.0,0.0,0.0
C0,C0,66058,nus,0.0,0.0,0.0
C0,C0,66058,novel,1.0,1.0,0.0
C0,C0,66058,unique,1.0,1.0,0.0
C0,C0,66058,rmsd,0.0012401480998928377,0.0012401480998928377,0.0
C0,C0,66058,pre_relaxation_max_force,0.022891193628311157,0.022891193628311157,0.0
C0,C0,66059,e_hull,0.057378455334961664,0.057378455334961664,0.0
C0,C0,66059,stable,1.0,1.0,0.0
C0,C0,66059,nus,1.0,1.0,0.0
C0,C0,66059,novel,1.0,1.0,0.0
C0,C0,66059,unique,1.0,1.0,0.0
C0,C0,66059,rmsd,0.015016697862110238,0.015016697862110238,0.0
C0,C0,66059,pre_relaxation_max_force,0.05975177511572838,0.05975177511572838,0.0
C0,C0,66060,e_hull,0.1744403082884034,0.1744403082884034,0.0
C0,C0,66060,stable,0.0,0.0,0.0
C0,C0,66060,nus,0.0,0.0,0.0
C0,C0,66060,novel,1.0,1.0,0.0
C0,C0,66060,unique,1.0,1.0,0.0
C0,C0,66060,rmsd,0.06847363157346721,0.06847363157346721,0.0
C0,C0,66060,pre_relaxation_max_force,0.6529091596603394,0.6529091596603394,0.0
C0,C0,66061,e_hull,0.20621390598795575,0.20621390598795575,0.0
C0,C0,66061,stable,0.0,0.0,0.0
C0,C0,66061,nus,0.0,0.0,0.0
C0,C0,66061,novel,1.0,1.0,0.0
C0,C0,66061,unique,1.0,1.0,0.0
C0,C0,66061,rmsd,0.05027147013577142,0.05027147013577142,0.0
C0,C0,66061,pre_relaxation_max_force,0.2459474354982376,0.2459474354982376,0.0
C0,C0,66062,e_hull,0.04027903947265532,0.04027903947265532,0.0
C0,C0,66062,stable,1.0,1.0,0.0
C0,C0,66062,nus,1.0,1.0,0.0
C0,C0,66062,novel,1.0,1.0,0.0
C0,C0,66062,unique,1.0,1.0,0.0
C0,C0,66062,rmsd,0.04158367019431732,0.04158367019431732,0.0
C0,C0,66062,pre_relaxation_max_force,0.31034499406814575,0.31034499406814575,0.0
C0,C0,66063,e_hull,0.1103304484464509,0.1103304484464509,0.0
C0,C0,66063,stable,0.0,0.0,0.0
C0,C0,66063,nus,0.0,0.0,0.0
C0,C0,66063,novel,1.0,1.0,0.0
C0,C0,66063,unique,1.0,1.0,0.0
C0,C0,66063,rmsd,0.004178022276701268,0.004178022276701268,0.0
C0,C0,66063,pre_relaxation_max_force,0.0461227148771286,0.0461227148771286,0.0
V1_Fallback50,C0,66000,e_hull,0.02652988920735755,0.23347357097493493,-0.20694368176757738
V1_Fallback50,C0,66000,stable,1.0,0.0,1.0
V1_Fallback50,C0,66000,nus,1.0,0.0,1.0
V1_Fallback50,C0,66000,novel,1.0,1.0,0.0
V1_Fallback50,C0,66000,unique,1.0,1.0,0.0
V1_Fallback50,C0,66000,rmsd,0.0061863247132848045,0.05298358235475468,-0.04679725764146987
V1_Fallback50,C0,66000,pre_relaxation_max_force,0.12842829525470734,0.47493642568588257,-0.34650813043117523
V1_Fallback50,C0,66001,e_hull,0.14335791191650404,0.11727159472818904,0.026086317188315
