trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
922,oracle_min_ehull,0.05813748072411344,0.026110621207684356,0.84375,0.40625,1.0,1.0,0.515625,0.90625,1.0,-0.07739346294299633,-0.6751618852362864,0.40625,0.109375
922,oracle_min_rmsd,0.10506650522992134,0.005946315281477003,0.59375,0.171875,1.0,1.0,0.484375,0.875,1.0,-0.030464438437188435,-0.926022830691704,0.15625,-0.125
922,oracle_stable_quality,0.05813748072411344,0.026110621207684356,0.84375,0.40625,1.0,1.0,0.515625,0.90625,1.0,-0.07739346294299633,-0.6751618852362864,0.40625,0.109375
922,oracle_nus_quality,0.06823329836406622,0.044846380221738466,0.84375,0.609375,1.0,1.0,0.765625,0.9375,1.0,-0.06729764530304355,-0.442073266302875,0.40625,0.3125
923,baseline_first,0.14066082911016264,0.061128452658125054,0.484375,0.203125,0.84375,1.0,0.671875,0.9375,1.0,0.0,0.0,0.0,0.0
923,oracle_min_ehull,0.0616540813774981,0.03603492096052202,0.90625,0.53125,1.0,1.0,0.640625,0.9375,1.0,-0.07900674773266454,-0.41050493847675795,0.421875,0.328125
923,oracle_min_rmsd,0.10255264070881465,0.012651159296518846,0.609375,0.265625,1.0,1.0,0.609375,0.9375,1.0,-0.038108188401348,-0.7930397589601463,0.125,0.0625
923,oracle_stable_quality,0.0616540813774981,0.03603492096052202,0.90625,0.53125,1.0,1.0,0.640625,0.9375,1.0,-0.07900674773266454,-0.41050493847675795,0.421875,0.328125
923,oracle_nus_quality,0.06478623314360281,0.039234163918572686,0.90625,0.65625,1.0,1.0,0.765625,0.9375,1.0,-0.07587459596655984,-0.35816854161189415,0.421875,0.453125
924,baseline_first,0.14985208010060264,0.0891212441728738,0.359375,0.21875,0.78125,1.0,0.765625,0.96875,1.0,0.0,0.0,0.0,0.0
924,oracle_min_ehull,0.058670051226305725,0.05389637029969854,0.890625,0.453125,1.0,1.0,0.5625,0.90625,1.0,-0.09118202887429691,-0.39524665751801524,0.53125,0.234375
924,oracle_min_rmsd,0.09410709877336121,0.01246075969400587,0.609375,0.25,1.0,1.0,0.546875,0.921875,1.0,-0.05574498132724143,-0.8601819374308219,0.25,0.03125
924,oracle_stable_quality,0.058670051226305725,0.05389637029969854,0.890625,0.453125,1.0,1.0,0.5625,0.90625,1.0,-0.09118202887429691,-0.39524665751801524,0.53125,0.234375
924,oracle_nus_quality,0.06513364545739643,0.05058222772569758,0.890625,0.6875,1.0,1.0,0.78125,0.96875,1.0,-0.0847184346432062,-0.43243355503901837,0.53125,0.46875
925,baseline_first,0.13563469494347546,0.08326462581055419,0.40625,0.203125,0.8125,1.0,0.6875,0.953125,1.0,0.0,0.0,0.0,0.0
925,oracle_min_ehull,0.06216419149858299,0.04383132606120324,0.84375,0.46875,1.0,1.0,0.578125,0.921875,1.0,-0.07347050344489248,-0.4735900673963347,0.4375,0.265625
925,oracle_min_rmsd,0.09837026239708477,0.007920886917603091,0.640625,0.21875,1.0,1.0,0.5,0.921875,1.0,-0.0372644325463907,-0.9048709239908806,0.234375,0.015625
925,oracle_stable_quality,0.06216419149858299,0.04383132606120324,0.84375,0.46875,1.0,1.0,0.578125,0.921875,1.0,-0.07347050344489248,-0.4735900673963347,0.4375,0.265625
925,oracle_nus_quality,0.06838591840190603,0.045301113401321244,0.84375,0.59375,1.0,1.0,0.75,0.953125,1.0,-0.06724877654156944,-0.4559380654109766,0.4375,0.390625
926,baseline_first,0.14574804023683896,0.07840408786719415,0.4375,0.28125,0.859375,1.0,0.8125,0.984375,1.0,0.0,0.0,0.0,0.0
926,oracle_min_ehull,0.060450562926052435,0.06050853666644311,0.859375,0.4375,0.984375,1.0,0.546875,0.921875,1.0,-0.08529747731078652,-0.22824768054267353,0.421875,0.15625
926,oracle_min_rmsd,0.10869884924643039,0.024736177730174235,0.546875,0.21875,0.984375,1.0,0.578125,0.90625,1.0,-0.03704919099040857,-0.6845039792813615,0.109375,-0.0625
926,oracle_stable_quality,0.060450562926052435,0.06050853666644311,0.859375,0.4375,0.984375,1.0,0.546875,0.921875,1.0,-0.08529747731078652,-0.22824768054267353,0.421875,0.15625
926,oracle_nus_quality,0.07067820906142705,0.0747753971531753,0.859375,0.65625,0.984375,1.0,0.796875,0.984375,1.0,-0.07506983117541191,-0.04628190713940017,0.421875,0.375
927,baseline_first,0.1566175005082402,0.05017892944650697,0.375,0.171875,0.828125,1.0,0.765625,0.953125,1.0,0.0,0.0,0.0,0.0
927,oracle_min_ehull,0.06562831675823878,0.026467364396494705,0.765625,0.40625,1.0,1.0,0.59375,0.9375,1.0,-0.09098918375000141,-0.4725402736080664,0.390625,0.234375
927,oracle_min_rmsd,0.10595617132364696,0.006904666701467303,0.53125,0.203125,1.0,1.0,0.546875,0.9375,1.0,-0.050661329184593235,-0.8623990830886898,0.15625,0.03125
927,oracle_stable_quality,0.06562831675823878,0.026467364396494705,0.765625,0.40625,1.0,1.0,0.59375,0.9375,1.0,-0.09098918375000141,-0.4725402736080664,0.390625,0.234375
927,oracle_nus_quality,0.07831538803001467,0.029534265770222577,0.765625,0.578125,1.0,1.0,0.8125,0.96875,1.0,-0.07830211247822552,-0.4114209670075274,0.390625,0.40625
