seed,gate_confidence,gate_on,c0_max_force,e3g_max_force,force_gain,spearman_rho,spearman_p
40162,0.2880475867679365,False,0.4261433453639613,0.4261450262376973,-1.6808737359763626e-06,0.37542200732433045,5.440778131205153e-10
40163,0.8159409166603242,True,0.1002465893044847,0.085971028547016,0.014275560757468692,0.37542200732433045,5.440778131205153e-10
40164,0.6018094370314682,True,0.4346590042003892,0.3294504818560511,0.10520852234433814,0.37542200732433045,5.440778131205153e-10
40165,0.9004542544936315,True,2.341367775912774,0.6678606080982525,1.6735071678145215,0.37542200732433045,5.440778131205153e-10
40166,0.5178231905800865,True,0.3162632372509336,0.3048370151360791,0.0114262221148545,0.37542200732433045,5.440778131205153e-10
40167,0.2699620499444351,False,0.1100939868200449,0.1100938033370249,1.8348301999981942e-07,0.37542200732433045,5.440778131205153e-10
40168,0.9407142328519328,True,0.0143487668054921,0.0457957290727676,-0.031446962267275495,0.37542200732433045,5.440778131205153e-10
40169,0.8579379709998011,True,0.3926350685512402,0.2192215321779047,0.1734135363733355,0.37542200732433045,5.440778131205153e-10
40170,0.9072253615184388,True,0.2981858462464068,0.2960472418257205,0.0021386044206863075,0.37542200732433045,5.440778131205153e-10
40171,0.8658343737582155,True,0.8134521315734072,0.7086236081848969,0.10482852338851034,0.37542200732433045,5.440778131205153e-10
40172,0.6722276763610179,True,0.0763217529485174,0.0862609888498383,-0.009939235901320898,0.37542200732433045,5.440778131205153e-10
40173,0.3889776741123672,False,0.1391006506958106,0.1391003584113533,2.9228445730389296e-07,0.37542200732433045,5.440778131205153e-10
40174,0.6360535150891873,True,5.9959293692432345,1.3058716736996223,4.690057695543612,0.37542200732433045,5.440778131205153e-10
40175,0.9751412959633404,True,1.5024610943244716,1.3640552639242889,0.13840583040018273,0.37542200732433045,5.440778131205153e-10
40176,0.9222643780923176,True,0.0081856627709808,0.006976442369034,0.0012092204019468,0.37542200732433045,5.440778131205153e-10
40177,0.9791462808035516,True,3.90755776918392,3.585622645830758,0.32193512335316177,0.37542200732433045,5.440778131205153e-10
40178,0.9655697021633264,True,0.2804646236606841,0.2766903670712811,0.0037742565894030022,0.37542200732433045,5.440778131205153e-10
40179,0.6295436975315427,True,0.6190045730687357,0.4067929432092548,0.2122116298594809,0.37542200732433045,5.440778131205153e-10
40180,0.0510973641012739,False,0.1429362606943494,0.1429364885065611,-2.27812211706091e-07,0.37542200732433045,5.440778131205153e-10
40181,0.064589930416152,False,0.1265801013574236,0.1265802356014088,-1.342439852058952e-07,0.37542200732433045,5.440778131205153e-10
40182,0.7045312814014101,True,0.1136389786291342,0.1058099182497823,0.00782906037935191,0.37542200732433045,5.440778131205153e-10
40183,0.1144402817382478,False,1.6314252139300598,1.6314266554132304,-1.4414831706055509e-06,0.37542200732433045,5.440778131205153e-10
40184,0.4452673247693257,False,0.2907925800057245,0.2907929069921777,-3.269864531918465e-07,0.37542200732433045,5.440778131205153e-10
