seed,c0_max_force,e3a_max_force,e3g_max_force,gate_on,exact_fallback
40206,0.0926726966269545,0.0914891368266368,0.0914890777237567,True,False
40207,0.2066589476396043,0.3020304016359319,0.3020353884602901,True,False
40208,0.7435195557352112,0.4242679232075841,0.4242710727109536,True,False
40209,0.2102212850181904,0.1681520591004286,0.1681521249670303,True,False
40210,0.1815765301168724,0.1522975943144351,0.1815762897166219,False,True
40211,0.0433209384010465,0.0341753651787839,0.0433210065830922,False,True
40212,0.2450238322871483,0.2475252627481622,0.2450232128540375,False,True
40213,0.1119588894174029,0.1298421752895132,0.1298421009008287,True,False
40214,0.2652603387312375,0.128676176947059,0.2652596272191815,False,True
40215,0.3739359759464845,0.2759840320356984,0.2759845467104541,True,False
40216,0.2339287973053228,0.0991982602074148,0.0991951545119277,True,False
40217,0.3449307874993306,0.4271931146959116,0.4271921718455522,True,False
40218,0.2608139633584272,0.1874213426835226,0.2608142908971153,False,True
40219,0.0215101253483475,0.0192507624976397,0.0215101016782641,False,True
40220,0.0645420337803509,0.0447405721048062,0.0447407328179764,True,False
40221,0.532591655391055,0.4029093317543257,0.4029106662993334,True,False
40222,0.0222802950309019,0.0219630776536586,0.0219632218849846,True,False
40223,0.2188763707648937,0.1896755791729552,0.1896745253271385,True,False
40224,1.2020283455451688,1.106521366696735,1.1065340358753144,True,False
40225,0.1366922913369791,0.1124177137259744,0.1366919926250903,False,True
40226,0.1130487741552612,0.1147370617901804,0.1130489724750158,False,True
40227,0.1310190800872774,0.1092441278049336,0.109244073865751,True,False
40228,0.0795626624652637,0.066438472232285,0.0795626512116577,False,True
40229,0.0766026849844286,0.0579578952882833,0.0579581385424643,True,False
40230,0.0786109844574331,0.0567000179615751,0.0567001802612793,True,False
40231,0.2383067237298414,0.2930738520862221,0.293075876255925,True,False
40232,0.0070695916781604,0.0063256801605996,0.0070695515067133,False,True
40233,1.4484800184487652,0.554945674802225,1.4484792650449103,False,True
40234,0.6605568603018375,0.6066815678446245,0.6066878141904842,True,False
40235,0.1340026422542919,0.1221948481967136,0.1221949047459471,True,False
40236,0.0840594465087722,0.0960599523960644,0.0960603452429268,True,False
40237,0.0845207469054384,0.0783761599852359,0.0845208814530641,False,True
40238,0.2513121801006647,0.2576698508549905,0.2576719117177576,True,False
40239,0.005977614945568,0.0067159199794924,0.006715446390868,True,False
40240,0.1761460806337993,0.185406063822768,0.1854058866931024,True,False
40241,0.0630447171911198,0.0623681724388352,0.0623692491367637,True,False
40242,0.3313081760150632,0.2955294041453822,0.2955283489574227,True,False
40243,0.2551472095285133,0.2556046534930851,0.2556030777311477,True,False
40244,0.2542022681023864,0.208686415783428,0.2542025660810728,False,True
40245,0.209078285699466,0.237813383033936,0.237812396953904,True,False
40246,0.0630163161900366,0.0532911362921258,0.0532914240585119,True,False
40247,0.3329130587247922,0.2826153009131681,0.3329131211662023,False,True
40248,0.0945710243756849,0.0734512750987824,0.0734512033954581,True,False
40249,0.1089507988459241,0.1091843280499839,0.1089513540589518,False,True
40250,0.0291433093192185,0.0196587508714701,0.0196565318234861,True,False
40251,0.4103076455420883,0.375857662536727,0.4103079625171128,False,True
40252,0.260568808412037,0.2908531740518877,0.2908505166434082,True,False
40253,0.0707549873991683,0.0679715956433117,0.0679713236105816,True,False
40254,0.0289642318878301,0.024268878104701,0.0289637140116646,False,True
40255,0.0151941456666521,0.0133508852167218,0.0151941740422616,False,True
