method,seed,formula,num_atoms,energy_ev_atom,energy_total_ev,mean_force_ev_a,maxF_ev_a,evaluator,surrogate_property_eval,dft_verified
C0,740160,CoFe3,4,-7.960762977600098,-31.84305191040039,0.034684784909108285,0.04005217665050877,CHGNet_0.3.0,True,False
C0,740161,CoFe10,11,-8.23583698272705,-90.59420680999756,0.036615893284132534,0.07366879000407157,CHGNet_0.3.0,True,False
C0,740162,Co4Fe8,12,-7.9302659034729,-95.1631908416748,0.02288223736826865,0.06320432934298353,CHGNet_0.3.0,True,False
C0,740163,Co2Fe2,4,-7.699872016906738,-30.799488067626953,0.026856749811861525,0.029037829740886863,CHGNet_0.3.0,True,False
C0,740164,Co2Fe2,4,-7.685765266418457,-30.743061065673828,0.05673570110745297,0.0743092364155516,CHGNet_0.3.0,True,False
C0,740165,Co4Fe3,7,-7.589438438415527,-53.12606906890869,0.03702722893887028,0.05823813567809387,CHGNet_0.3.0,True,False
C0,740166,Co3Fe7,10,-7.956322193145752,-79.56322193145752,0.07569237483703126,0.1482163004563751,CHGNet_0.3.0,True,False
C0,740167,Co3Fe9,12,-8.026793479919434,-96.3215217590332,0.03223037711943051,0.0637126963872716,CHGNet_0.3.0,True,False
C0,740168,CoFe18Gd,20,-8.59802532196045,-171.96050643920898,0.10959546213469591,0.27884603155092463,CHGNet_0.3.0,True,False
C0,740169,CoFe14,15,-8.268575668334961,-124.02863502502441,0.038893459863096586,0.06815927868390756,CHGNet_0.3.0,True,False
C0,740170,Co4Fe4,8,-7.684574604034424,-61.47659683227539,0.049019966633085214,0.07385033091167897,CHGNet_0.3.0,True,False
C0,740171,Co3Fe7,10,-7.962029457092285,-79.62029457092285,0.04923473087156481,0.09594102092636694,CHGNet_0.3.0,True,False
C0,740172,HGd4,5,-12.045869827270508,-60.22934913635254,0.02201074029647778,0.030475346236745828,CHGNet_0.3.0,True,False
C0,740173,Co4Fe4,8,-7.679465293884277,-61.43572235107422,0.03709256841220312,0.06786811575583772,CHGNet_0.3.0,True,False
C0,740174,Fe10Gd2,12,-9.38607120513916,-112.63285446166992,0.008840416037586136,0.012593354326843198,CHGNet_0.3.0,True,False
C0,740175,Co4Fe4,8,-7.673002243041992,-61.38401794433594,0.04002459341029868,0.05967858688604551,CHGNet_0.3.0,True,False
C0,740176,Co2Fe4,6,-7.919492244720459,-47.516953468322754,0.02657286628061209,0.04168335647684235,CHGNet_0.3.0,True,False
C0,740177,H2Co3Fe5,10,-6.98057222366333,-69.8057222366333,0.27977071061534897,0.5154999762006693,CHGNet_0.3.0,True,False
C0,740178,CoFe17N2,20,-8.341133117675781,-166.82266235351562,0.33720632488671354,0.800164875621873,CHGNet_0.3.0,True,False
C0,740179,CoFe5,6,-8.129317283630371,-48.77590370178223,0.041722231858361075,0.08714431725125173,CHGNet_0.3.0,True,False
C0,740180,Co5Fe7,12,-7.806766033172607,-93.68119239807129,0.04878093625028144,0.09975734004904697,CHGNet_0.3.0,True,False
C0,740181,Gd4,4,-14.046710968017578,-56.18684387207031,0.008924708144889071,0.009501759739335617,CHGNet_0.3.0,True,False
C0,740182,Co4Fe8,12,-7.918030738830566,-95.0163688659668,0.04682954367993908,0.08618119792053044,CHGNet_0.3.0,True,False
C0,740183,HCoFe8,10,-7.735077857971191,-77.35077857971191,0.1440210719455534,0.2751931538367448,CHGNet_0.3.0,True,False
C0,740184,Co2Fe6,8,-8.025114059448242,-64.20091247558594,0.03181625836001011,0.0843382857005467,CHGNet_0.3.0,True,False
C0,740185,CoGd2Zn,4,-9.314007759094238,-37.25603103637695,0.002817197805039281,0.0035684297845495674,CHGNet_0.3.0,True,False
C0,740186,Gd6Li,7,-12.241012573242188,-85.68708801269531,0.13747196277902152,0.2529611924428475,CHGNet_0.3.0,True,False
C0,740187,Co3Fe7,10,-7.961044788360596,-79.61044788360596,0.04361172903667497,0.08637202392923408,CHGNet_0.3.0,True,False
C0,740188,CoFe3,4,-7.8075337409973145,-31.230134963989258,0.25131752625919584,0.4839735236569789,CHGNet_0.3.0,True,False
C0,740189,Gd6NOSn2,10,-12.0402250289917,-120.40225028991699,0.019782462224789583,0.03727722628237823,CHGNet_0.3.0,True,False
