method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,e_hull_ev_per_atom,stable,nus,novel,unique,mag_density_a3,mag_absolute_error_a3,mag_hit,valid,minimum_periodic_distance_a,generation_seconds,end_to_end_generation_seconds,mattergen_score_calls,guidance_calls,guidance_accepted,guidance_fallbacks,guidance_seconds,relaxation_steps,surrogate_property_eval,dft_verified
A0,746002,LiCaEu4MnFeO8,16,0.5660683403230272,0.29511403116674195,0.05314534709476077,0.09743428794352305,True,True,True,True,0.14788943077594152,0.047889430775941516,False,True,1.8965529054803414,91.14819418900879,91.14819418900879,2000,0,0,0,0.0,63,True,False
A0,746003,LiEu2In,4,0.005268036405189319,0.0028919050500206735,0.0012272786937419019,0.027354160057465826,True,False,False,True,0.11053535231839741,0.010535352318397403,False,True,3.4358305263986524,84.15235172503162,84.15235172503162,2000,0,0,0,0.0,1,True,False
A0,746004,Fe2CoIr,4,0.012909285523796428,0.01042746223728715,0.000653977904786692,0.07869934178385485,True,False,False,True,0.14779906868876502,0.04779906868876502,False,True,2.555363190603981,85.12644935498247,85.12644935498247,2000,0,0,0,0.0,10,True,False
A0,746005,EuCd,4,0.06329133482183717,0.03815634680799701,0.08711641628675341,0.011429128256835952,True,False,False,True,0.11068617019225101,0.010686170192251002,False,True,3.415390105811181,84.01389110198943,84.01389110198943,2000,0,0,0,0.0,6,True,False
A0,746006,Eu5Mn(CdP2)3,15,0.3957772053978022,0.14370082881921678,0.06457108121480337,0.13816518638624586,False,False,True,True,0.10042631292889202,0.000426312928892017,True,True,2.524468952719739,84.56271492503583,84.56271492503583,2000,0,0,0,0.0,62,True,False
A0,746007,Mn2(BeFe)3,8,0.28923775413938224,0.13527971141931744,0.01952875859275794,0.12644234059448145,False,False,True,True,0.11657588016412768,0.01657588016412767,False,True,2.3638474328074985,83.74747477204073,83.74747477204073,2000,0,0,0,0.0,24,True,False
POS_ONLY,746000,Co7Pt,8,0.04147914527763199,0.014642119446132138,0.0012129370699466213,0.0503324408215331,True,False,False,True,0.12926296129520073,0.02926296129520073,False,True,2.536556476920061,83.35482236696407,83.35482236696407,2000,0,0,0,0.0,7,True,False
POS_ONLY,746001,EuHO2,8,0.409742520028655,0.2054671014177629,0.025983557904894664,0.010753295825194797,True,False,False,True,0.12886496528489516,0.028864965284895155,False,True,1.003095727255804,84.57986979803536,84.57986979803536,2000,0,0,0,0.0,35,True,False
POS_ONLY,746002,MgMn2NiO4,16,1.6097022255462006,0.44296588011007165,1.251902518172322,0.0670140825166845,True,True,True,True,0.10764228184667803,0.00764228184667802,True,True,1.9790559777217835,91.15222527098376,91.15222527098376,2000,0,0,0,0.0,454,True,False
POS_ONLY,746003,Eu2TlIn,4,0.006846532038492188,0.005621074884356317,0.0023176978836436575,0.022759805562744262,True,False,False,True,0.10687100379741785,0.006871003797417841,True,True,3.4694920899682296,83.91420257597929,83.91420257597929,2000,0,0,0,0.0,6,True,False
