comparison,source_method,seed,field,sampling_progress,forward_diffusion_t,stage,rms_diff,relative_l2_diff,cosine_to_c0,c0_rms,candidate_rms
GBSA-TCL_vs_C0,TCL,85022,atomic_numbers,0.25,0.75,early_0_30,0.819125633487182,0.0627022945473162,0.9982198118007258,13.06372660523701,12.787705186800679
GBSA-TCL_vs_C0,TCL,85022,pos,0.25,0.75,early_0_30,0.0022609645601358356,1.0024722266356134,0.6676863679145588,0.0022553887280486913,0.003020122829180635
GBSA-TCL_vs_C0,TCL,85022,cell,0.25,0.75,early_0_30,0.013394400017389629,0.011487991661639309,0.9999345165407577,1.1659479230052192,1.1646990429155475
GBSA-TCL_vs_C0,TCL,85023,atomic_numbers,0.25,0.75,early_0_30,1.832468810855365,0.10834729262122036,0.9946573267754931,16.9129174022062,16.266141885446398
GBSA-TCL_vs_C0,TCL,85023,pos,0.25,0.75,early_0_30,0.00423737552561676,1.4995418463583308,0.7585897857577668,0.0028257801113768955,0.005960068732407634
GBSA-TCL_vs_C0,TCL,85023,cell,0.25,0.75,early_0_30,0.0051416251131607684,0.006356919905919487,0.9999810353620804,0.8088233278467059,0.8075338636857204
GBSA-TCL_vs_C0,TCL,85024,atomic_numbers,0.25,0.75,early_0_30,1.206317397233165,0.1308746238390322,0.9933992073215415,9.217351399740119,8.575732149209026
GBSA-TCL_vs_C0,TCL,85024,pos,0.25,0.75,early_0_30,0.0007306544265246703,0.6502348262125439,0.7687706047104217,0.0011236777808112041,0.000731783302061224
GBSA-TCL_vs_C0,TCL,85024,cell,0.25,0.75,early_0_30,0.012433225557744558,0.0090338825014206,0.9999623241803369,1.376288163565267,1.3727926152446734
GBSA-TCL_vs_C0,TCL,85025,atomic_numbers,0.25,0.75,early_0_30,1.4325197149251958,0.11293986944997117,0.993881814353049,12.683915094835106,12.30710250878699
GBSA-TCL_vs_C0,TCL,85025,pos,0.25,0.75,early_0_30,0.0011362265918562228,0.7076031584584853,0.7699229594436802,0.001605739853297849,0.0017272523340232896
GBSA-TCL_vs_C0,TCL,85025,cell,0.25,0.75,early_0_30,0.011321353111368932,0.011323875808525318,0.9999400512707164,0.9997772231699603,1.0026039094813493
GBSA-TCL_vs_C0,TCL,85026,atomic_numbers,0.25,0.75,early_0_30,1.0819651784152926,0.07575911507931908,0.9975602448003384,14.281650165560743,14.667057313975766
GBSA-TCL_vs_C0,TCL,85026,pos,0.25,0.75,early_0_30,0.0037589386392837543,1.3540067330643288,0.7538086363044881,0.0027761594883481035,0.00537932077945703
GBSA-TCL_vs_C0,TCL,85026,cell,0.25,0.75,early_0_30,0.01137701890469481,0.012798087698161518,0.9999184642351374,0.888962411652262,0.8881323962102604
GBSA-TCL_vs_C0,TCL,85027,atomic_numbers,0.25,0.75,early_0_30,0.9045193843019258,0.05975969712713046,0.9983169748089952,15.135943249138073,15.328764638449996
GBSA-TCL_vs_C0,TCL,85027,pos,0.25,0.75,early_0_30,0.0036438801600542896,1.1433162487369444,0.8737405402507787,0.003187114819788307,0.006082404476295184
GBSA-TCL_vs_C0,TCL,85027,cell,0.25,0.75,early_0_30,0.008933991741557025,0.01454689930631741,0.9998971262554488,0.6141509302726239,0.6125990994229872
GBSA-TCL_vs_C0,TCL,85028,atomic_numbers,0.25,0.75,early_0_30,0.839480014275454,0.08089173923240528,0.9977543806862105,10.377821298459082,9.88380751033964
GBSA-TCL_vs_C0,TCL,85028,pos,0.25,0.75,early_0_30,0.0016938338799646294,0.9823510726567454,0.8529838476908802,0.0017242653131977507,0.0029057436639770983
GBSA-TCL_vs_C0,TCL,85028,cell,0.25,0.75,early_0_30,0.0225852094715924,0.020991283624166444,0.9997821859104744,1.075932747894985,1.0781170311216044
GBSA-TCL_vs_C0,TCL,85029,atomic_numbers,0.25,0.75,early_0_30,1.35817943248619,0.13866013937724606,0.9913581164728079,9.79502428445608,9.270412361128807
GBSA-TCL_vs_C0,TCL,85029,pos,0.25,0.75,early_0_30,0.0012520690632841739,1.036909093432289,0.8009202134589272,0.0012075012855174028,0.001989327217381436
GBSA-TCL_vs_C0,TCL,85029,cell,0.25,0.75,early_0_30,0.020434977151108168,0.01694990585265538,0.9998759704937875,1.205610068206179,1.1979068651237677
GBSA-TCL_vs_C0,TCL,85030,atomic_numbers,0.25,0.75,early_0_30,1.1818152730838596,0.129459644040581,0.9935659896263048,9.12883147363979,8.497581523726321
GBSA-TCL_vs_C0,TCL,85030,pos,0.25,0.75,early_0_30,0.0005157714348049015,0.7000949528664274,0.7944867245763108,0.0007367164021011114,0.0008419406128842438
GBSA-TCL_vs_C0,TCL,85030,cell,0.25,0.75,early_0_30,0.014608106996741924,0.019659815848216102,0.9998077415665673,0.7430439384338098,0.7418428101023194
GBSA-TCL_vs_C0,TCL,85031,atomic_numbers,0.25,0.75,early_0_30,1.8324560255085007,0.10475722765556458,0.9944998648918885,17.492406648384257,17.36095843835823
GBSA-TCL_vs_C0,TCL,85031,pos,0.25,0.75,early_0_30,0.005545683548912048,1.031197919309683,0.7038887694539381,0.0053779041298148735,0.007805689725510795
GBSA-TCL_vs_C0,TCL,85031,cell,0.25,0.75,early_0_30,0.020676085499298207,0.014983258110724791,0.9999221274525326,1.3799458933767266,1.368395778274223
GBSA-TCL_vs_C0,C0,85000,atomic_numbers,0.35,0.65,mid_30_70,1.9088287010451408,0.1357472208387838,0.9961812064391476,14.06164110948618,12.54632283845034
GBSA-TCL_vs_C0,C0,85000,pos,0.35,0.65,mid_30_70,0.015740828969808156,0.20074375054373755,0.9925169425637916,0.07841254797308662,0.0903197176607243
GBSA-TCL_vs_C0,C0,85000,cell,0.35,0.65,mid_30_70,0.016685829188948474,0.01505946420078064,0.9999136590984811,1.107996205341989,1.0997499407937876
GBSA-TCL_vs_C0,C0,85001,atomic_numbers,0.35,0.65,mid_30_70,1.6588293536852705,0.17714724659459918,0.9871126057616045,9.364127219439629,8.531993491763473
GBSA-TCL_vs_C0,C0,85001,pos,0.35,0.65,mid_30_70,0.00968489694207596,0.42486779078399933,0.9822989807455679,0.02279508391117301,0.03108437652107771
GBSA-TCL_vs_C0,C0,85001,cell,0.35,0.65,mid_30_70,0.031685275610520945,0.030103340022229634,0.9996927761340629,1.0525501684239402,1.0702084030583432
GBSA-TCL_vs_C0,C0,85002,atomic_numbers,0.35,0.65,mid_30_70,0.9191409363842755,0.062399919328739895,0.9984940653310985,14.729841741332853,14.269673115236472
GBSA-TCL_vs_C0,C0,85002,pos,0.35,0.65,mid_30_70,0.01283786985686669,0.17369229632892258,0.9874437006972239,0.07391156734179799,0.07832055927871595
GBSA-TCL_vs_C0,C0,85002,cell,0.35,0.65,mid_30_70,0.011906065692269865,0.013183889898142117,0.9999233066727995,0.903076844865617,0.8989252999311949
GBSA-TCL_vs_C0,C0,85003,atomic_numbers,0.35,0.65,mid_30_70,1.084296894738145,0.11311360759113596,0.997137331441882,9.58591028815453,8.752024085344068
GBSA-TCL_vs_C0,C0,85003,pos,0.35,0.65,mid_30_70,0.010667531681987773,0.25052728698179616,0.991540076043846,0.042580318537369134,0.05134417566557396
GBSA-TCL_vs_C0,C0,85003,cell,0.35,0.65,mid_30_70,0.03068667170357197,0.026538059971833287,0.9996515416602662,1.1563268654958914,1.1527628290466636
GBSA-TCL_vs_C0,C0,85004,atomic_numbers,0.35,0.65,mid_30_70,1.583183365477696,0.1029364282175674,0.9982251668806065,15.38020497594365,14.061575552824912
GBSA-TCL_vs_C0,C0,85004,pos,0.35,0.65,mid_30_70,0.017160704678475396,0.40931275887606594,0.9847543650456267,0.04192565295447195,0.056820367982891744
GBSA-TCL_vs_C0,C0,85004,cell,0.35,0.65,mid_30_70,0.024882069644414986,0.015529840895787739,0.9998805593398661,1.6022102100971243,1.6044534120149443
GBSA-TCL_vs_C0,C0,85005,atomic_numbers,0.35,0.65,mid_30_70,0.923105400966452,0.056922590018912984,0.9986700113699896,16.216855217932682,15.804069724942725
GBSA-TCL_vs_C0,C0,85005,pos,0.35,0.65,mid_30_70,0.0201388197517681,0.22349342868942837,0.9924225635436379,0.09010922544731044,0.10624860636830015
GBSA-TCL_vs_C0,C0,85005,cell,0.35,0.65,mid_30_70,0.012985732654651737,0.01408683481202547,0.9999330024849802,0.9218346653405947,0.914372439575225
GBSA-TCL_vs_C0,C0,85006,atomic_numbers,0.35,0.65,mid_30_70,0.9496429150549046,0.07241860219219029,0.9974197453143024,13.113245579287298,12.954591332003812
GBSA-TCL_vs_C0,C0,85006,pos,0.35,0.65,mid_30_70,0.014154798474725509,0.3657685774145805,0.9839427237843167,0.03869878209543886,0.05043253934521087
GBSA-TCL_vs_C0,C0,85006,cell,0.35,0.65,mid_30_70,0.011400832512928283,0.010018288525210788,0.9999552001697469,1.138002013441553,1.1416854210334633
GBSA-TCL_vs_C0,C0,85007,atomic_numbers,0.35,0.65,mid_30_70,1.2460193733786944,0.1446863249889155,0.9914010508975057,8.611866902239397,8.006232409484515
GBSA-TCL_vs_C0,C0,85007,pos,0.35,0.65,mid_30_70,0.011331248372359354,1.3521607343574504,0.985816979078216,0.0083801045870068,0.01950488217505939
GBSA-TCL_vs_C0,C0,85007,cell,0.35,0.65,mid_30_70,0.03098058233832604,0.042444793111734505,0.999290638263601,0.7299030120554644,0.7150944208651019
GBSA-TCL_vs_C0,C0,85008,atomic_numbers,0.35,0.65,mid_30_70,0.9956361684632493,0.0655975670193561,0.9978740797157725,15.177943538202639,15.032379656624812
GBSA-TCL_vs_C0,C0,85008,pos,0.35,0.65,mid_30_70,0.01738298914200993,0.21942240881368433,0.9924602759650668,0.07922157648342175,0.09304250596781613
GBSA-TCL_vs_C0,C0,85008,cell,0.35,0.65,mid_30_70,0.011775591896738047,0.010439213728434298,0.9999455380451225,1.1280152129334917,1.1276862714127687
GBSA-TCL_vs_C0,C0,85009,atomic_numbers,0.35,0.65,mid_30_70,0.9137530469755292,0.0705037231326636,0.9976568088186296,12.960351686054397,12.709320734327305
GBSA-TCL_vs_C0,C0,85009,pos,0.35,0.65,mid_30_70,0.030811759378709398,0.5768485011634188,0.9786503977060452,0.053413954125852106,0.08106320303049869
GBSA-TCL_vs_C0,C0,85009,cell,0.35,0.65,mid_30_70,0.017247112646539157,0.020567789841490897,0.9998023318737613,0.8385496341345816,0.8339675960996319
GBSA-TCL_vs_C0,C0,85010,atomic_numbers,0.35,0.65,mid_30_70,1.6005694722722301,0.15701381250410373,0.9894525882866241,10.193813185896603,9.468768329995362
GBSA-TCL_vs_C0,C0,85010,pos,0.35,0.65,mid_30_70,0.012379286636078327,1.4449502732270507,0.9483067162825561,0.008567275196558352,0.020201427569188034
