method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
TCL,85011,Eu2Be(CuPd2)2,0.14643781317708093,False,False,True,True,0.05139947853358147,0.13236075759674934,0.248765450849577,46,,False
TCL,85012,Dy(FeGe)5,0.11316550977805306,False,False,True,True,0.06031801821357529,0.28990295555337114,0.5813355442640727,54,,False
TCL,85013,Eu4Ag2Ge3,0.16762345241319387,False,False,True,True,0.1105323455817265,0.13046674438403208,0.2124647392924873,69,,False
TCL,85014,HfMn9Zn,0.184622687618738,False,False,True,True,0.6282654008615938,0.47050204537806567,1.162431433032117,273,RMSD>0.5;MaxF>1;Steps>200,False
TCL,85015,Eu7Mg,0.05908829959472506,True,True,True,True,0.002564340909538745,0.01328077757535649,0.019727155477194374,14,,False
TCL,85016,Mn3Ge,0.1007435829296881,False,False,False,True,0.005428790101086656,0.04086968575549692,0.07024968935994094,42,,False
TCL,85017,Mn11Co9,0.15761682261900667,False,False,True,True,0.024415262672366614,0.17584937894429972,0.2889478684511526,62,,False
TCL,85018,Eu2Y,0.11725608745551241,False,False,True,True,0.01607375367151691,0.049590110159399736,0.081942962084514,17,,False
TCL,85019,Mn3C,0.1177939416701328,False,False,True,True,0.08403327361961371,0.487880241882587,1.0129767487099883,111,MaxF>1,False
TCL,85020,BePt3,0.09180359493896528,True,False,False,True,0.013583895216286706,0.12354235460962332,0.2169376702663486,18,,False
TCL,85021,Fe3Si,0.08777518932942652,True,False,False,True,0.026189259745343998,0.1801799670334671,0.6046732416017968,43,,False
TCL,85022,Eu3Mg(GaPt)4,0.016185328623047113,True,True,True,True,0.03490770917689354,0.09372117115904195,0.18890581087209837,43,,False
TCL,85023,SmMn2GeO,0.538297536175044,False,False,True,True,0.12536177298729786,0.3067017193930174,0.6121815388453041,52,,False
TCL,85024,LiEu2Rh,0.07934857990763344,True,False,False,True,0.01275646680363676,0.0682844202623066,0.13636793714257026,12,,False
TCL,85025,Gd4DyRh5,0.01638832084374542,True,True,True,True,0.003475637544886712,0.04046040151666777,0.0791528789680028,51,,False
TCL,85026,Eu3(MgCu)4,0.011759824549004705,True,True,True,True,0.010893886792859573,0.05049821173349354,0.06875785671128136,25,,False
TCL,85027,Mn13Fe3,0.16645219269665823,False,False,True,True,0.07284170645693232,0.3004916061974878,0.5507679173476866,104,,False
TCL,85028,Mn4Fe3C5,0.19136714054913995,False,False,True,True,0.07368451109085972,0.45777789082976456,0.9951697613505885,76,,False
TCL,85029,EuPd,0.011991642661133284,True,True,True,True,0.01654572408758915,0.05844188721116096,0.08619451621485268,16,,False
TCL,85030,Gd2DyPb,-0.013577495786620375,True,True,True,True,0.0022138604621353202,0.007502592836806052,0.009762026722919785,18,,False
TCL,85031,Eu2Al4Cu3Pd,0.023864544920899178,True,True,True,True,0.002502815410728354,0.022187562816457094,0.03993327645812199,37,,False
GBSA-TCL,85000,Mn13Pt3C,0.17010345639695323,False,False,True,True,0.02923971398259712,0.17357541271228646,0.4662073500037583,46,,False
GBSA-TCL,85001,Eu3(InPt)2,0.14847209148391105,False,False,True,True,0.04480760502732103,0.08988320866815847,0.21471371036674555,28,,False
GBSA-TCL,85002,Li3Gd4MgInAu10,0.09347120402103837,True,True,True,True,0.04995554814893215,0.09732547427243872,0.32776079386461965,77,,False
GBSA-TCL,85003,Li2Eu7Gd2,0.12126211836055845,False,False,True,True,0.05946834517837752,0.06615600749968899,0.18601522386908362,13,,False
GBSA-TCL,85004,EuPt,0.22556485364990309,False,False,True,True,0.03542277952534213,0.11631356910045851,0.34956863144838785,17,,False
GBSA-TCL,85005,Eu9Pt3Au2,0.05274368487537018,True,True,True,True,0.037208753316711515,0.07101771921277952,0.13581090424296202,32,,False
GBSA-TCL,85006,Gd5Pt4,0.052285398715277154,True,True,True,True,0.040369271479914315,0.0722906224049945,0.15714414022373566,54,,False
GBSA-TCL,85007,LiEu3,0.10690134021158748,False,False,False,True,0.0026460869198026817,0.01869282937724307,0.03728795017744606,9,,False
GBSA-TCL,85008,EuPt2,0.19197692455729154,False,False,True,True,0.3355601417528636,0.08720970653272186,0.1338600024237158,214,Steps>200,False
GBSA-TCL,85009,Eu3Cu,0.01886659030029314,True,True,True,True,0.04041049315439725,0.09084315883399205,0.10870024387654795,18,,False
GBSA-TCL,85010,Eu2Au,0.05071312004448636,True,True,True,True,0.002671977097068972,0.026248050520575873,0.038096644041260376,3,,False
GBSA-TCL,85011,Eu5PbAu3,0.09745072418113221,True,True,True,True,0.02919846269907515,0.08960476892427062,0.18850497198059604,30,,False
GBSA-TCL,85012,Mn(FePt4)2,0.025557531022726288,True,True,True,True,0.01458704807991855,0.0933315805712892,0.16643710686720886,19,,False
GBSA-TCL,85013,EuAgPb,0.1334104555664064,False,False,True,True,0.03694369803462801,0.10262675231887414,0.22146078169145547,46,,False
GBSA-TCL,85014,Gd2Mn7Al2,0.5809197429270565,False,False,True,True,0.1052279113961685,3.046884414318734,6.342232233031367,63,MaxF>1;MaxF>2,False
